"filename", "language", "TypeScript JSX", "CSS", "JSON with Comments", "TypeScript", "Markdown", "HTML", "JSON", "Rust", "XML", "YAML", "comment", "blank", "total"
"/Users/westdt/Documents/GitHub/w4113/src/bindings/FreqMessage.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 3
"/Users/westdt/Documents/GitHub/w4113/src/bindings/MessageKind.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 3
"/Users/westdt/Documents/GitHub/w4113/src/console.tsx", "TypeScript JSX", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"/Users/westdt/Documents/GitHub/w4113/src/console/Console.tsx", "TypeScript JSX", 121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 11, 140
"/Users/westdt/Documents/GitHub/w4113/src/console/Settings.tsx", "TypeScript JSX", 146, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17, 165
"/Users/westdt/Documents/GitHub/w4113/src/console/ui/Frame.tsx", "TypeScript JSX", 128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14, 143
"/Users/westdt/Documents/GitHub/w4113/src/globals.css", "CSS", 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 65
"/Users/westdt/Documents/GitHub/w4113/src/tv.tsx", "TypeScript JSX", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"/Users/westdt/Documents/GitHub/w4113/src/tv/TV.css", "CSS", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"/Users/westdt/Documents/GitHub/w4113/src/tv/TV.tsx", "TypeScript JSX", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 29
"/Users/westdt/Documents/GitHub/w4113/src/tv/visualizers/BasicVisualizer.css", "CSS", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 22
"/Users/westdt/Documents/GitHub/w4113/src/tv/visualizers/BasicVisualizer.tsx", "TypeScript JSX", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16, 61
"/Users/westdt/Documents/GitHub/w4113/tsconfig.json", "JSON with Comments", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 9, 0, 41
"/Users/westdt/Documents/GitHub/w4113/tsconfig.node.json", "JSON", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
"/Users/westdt/Documents/GitHub/w4113/tv.html", "HTML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 3, 16
"/Users/westdt/Documents/GitHub/w4113/vite.config.ts", "TypeScript", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 9, 3, 34
"Total", "-", 478, 86, 32, 26, 5, 26, 352, 2967, 798, 10, 1242, 533, 6555
